title,price,location,year,mileage,list_date,URL,source
"2023 HUSQVARNA FX450 FX 450 IN STOCK INCREDIBLE $2,000 OFF! CLEMS!","$9,649",wilkeson,2023,-1,7/6,https://seattle.craigslist.org/skc/mcd/d/wilkeson-2023-husqvarna-fx450-fx-450-in/7640524557.html,craigslist
FS: 2017 BMW R nineT Scrambler - 3228 miles,"$10,999",seattle,2017,"3,228mi",7/6,https://seattle.craigslist.org/see/mcd/d/seattle-fs-2017-bmw-ninet-scrambler/7640524086.html,craigslist
motorcycle,"$3,800",tacoma,-1,"9,200mi",7/6,https://seattle.craigslist.org/tac/mcy/d/tacoma-motorcycle/7640523979.html,craigslist
Harley Davidson Vrod,"$15,000",carlsborg,-1,14k mi,7/6,https://seattle.craigslist.org/kit/mcy/d/carlsborg-harley-davidson-vrod/7640521586.html,craigslist
"FS: 1997 Ducati 900SS/SP #H80 - 23,228 miles","$10,800",seattle,1997,23k mi,7/6,https://seattle.craigslist.org/see/mcd/d/seattle-fs-1997-ducati-900ss-sp-miles/7640520174.html,craigslist
"2023 HUSQVARNA TX300 TX 300 HERATIGE EDITION SAVE $1,750 AT CLEM'S!","$9,549",wilkeson,2023,-1,7/6,https://seattle.craigslist.org/skc/mcd/d/wilkeson-2023-husqvarna-tx300-tx-300/7640512667.html,craigslist
2023 HUSQVARNA VITPILEN 401 CAFE RACER SPORTBIKE EFI SAVE $500 CLEMS!,"$5,149",wilkeson,2023,-1,7/6,https://seattle.craigslist.org/skc/mcd/d/wilkeson-2023-husqvarna-vitpilen-401/7640504900.html,craigslist
2023 HUSQVARNA TC 65 TC65 YOUTH MX RACE WINNER SAVE $750 AT CLEM'S!,"$4,849",wilkeson,2023,-1,7/6,https://seattle.craigslist.org/skc/mcd/d/wilkeson-2023-husqvarna-tc-65-tc65/7640501039.html,craigslist
2023 CFMoto 300NK,"$4,199",bremerton,2023,-1,7/6,https://seattle.craigslist.org/tac/mcd/d/bremerton-2023-cfmoto-300nk/7640499970.html,craigslist
"SALE: New 32MPH 2000W E-Scooters, 60V 20AH, Up to 30mile Range","$1,200",seattle,-1,1mi,7/6,https://seattle.craigslist.org/est/mcd/d/seattle-sale-new-32mph-2000w-scooters/7640499555.html,craigslist
suzuki van van 200,"$4,200",bremerton,-1,"2,800mi",7/6,https://seattle.craigslist.org/kit/mcy/d/bremerton-suzuki-van-van-200/7640497628.html,craigslist
2023 HUSQVARNA EE3 ALL NEW ELECTRIC FIRST MX MOTOCROSS BIKE SAVE $500!,"$4,599",wilkeson,2023,-1,7/6,https://seattle.craigslist.org/skc/mcd/d/wilkeson-2023-husqvarna-ee3-all-new/7640496508.html,craigslist
2023 HUSQVARNA TC 50 TC50 2-STROKE RACE WINNING 50cc SAVE $750 CLEMS!,"$4,049",wilkeson,2023,-1,7/6,https://seattle.craigslist.org/skc/mcd/d/wilkeson-2023-husqvarna-tc-50-tc50/7640492492.html,craigslist
